measure calculation,annex,country,fishing_activity,fishing_capacity,gt_days_at_sea,no_vessels,nominal_effort,regulated area,regulated gear,specon,vessel length,year
8504.73,BOB,ESP,87,,1465.95,1,8504.73,8B-BOB,GILL,NONE,NONE,2015
1368.57,BOB,ESP,14,,235.9,1,1368.57,8B-BOB,LONGLINE,NONE,NONE,2015
1235.51,BOB,ESP,12,,171.24,1,1235.51,8B-BOB,TRAMMEL,NONE,NONE,2015
1820929,IIB,ESP,,,1199820,24,1820929,8C-9A,3A,IIB72AB,NONE,2003
662947,IIB,ESP,,,143584,36,662947,8C-9A,3B,IIB72AB,NONE,2003
621801,IIB,ESP,,,167289,104,621801,8C-9A,3C,IIB72AB,NONE,2003
3051855,IIB,ESP,,,1883553,24,3051855,8C-9A,3A,IIB72AB,NONE,2004
865145,IIB,ESP,,,187793,35,865145,8C-9A,3B,IIB72AB,NONE,2004
692039,IIB,ESP,,,185770,88,692039,8C-9A,3C,IIB72AB,NONE,2004
2677605,IIB,ESP,,,1933493,23,2677605,8C-9A,3A,IIB72AB,NONE,2005
1033742,IIB,ESP,,,246112,36,1033742,8C-9A,3B,IIB72AB,NONE,2005
686974,IIB,ESP,,,183045,88,686974,8C-9A,3C,IIB72AB,NONE,2005
2420208,IIB,ESP,,,1794889,20,2420208,8C-9A,3A,IIB72AB,NONE,2006
916120,IIB,ESP,,,223811,32,916120,8C-9A,3B,IIB72AB,NONE,2006
755191,IIB,ESP,,,226461,89,755191,8C-9A,3C,IIB72AB,NONE,2006
2458721,IIB,ESP,,,1786565,23,2458721,8C-9A,3A,IIB72AB,NONE,2007
1056900,IIB,ESP,,,259537,33,1056900,8C-9A,3B,IIB72AB,NONE,2007
846255,IIB,ESP,,,243124,91,846255,8C-9A,3C,IIB72AB,NONE,2007
2478225,IIB,ESP,,,1790587,24,2478225,8C-9A,3A,IIB72AB,NONE,2008
1330193,IIB,ESP,,,303973,31,1330193,8C-9A,3B,IIB72AB,NONE,2008
897264,IIB,ESP,,,286530,96,897264,8C-9A,3C,IIB72AB,NONE,2008
2403446,IIB,ESP,,,1769534,25,2403446,8C-9A,3A,IIB72AB,NONE,2009
1668152,IIB,ESP,,,390604,33,1668152,8C-9A,3B,IIB72AB,NONE,2009
1099242,IIB,ESP,,,342531,104,1099242,8C-9A,3C,IIB72AB,NONE,2009
441,IIB,ESP,6,,85.02,1,441,8C-9A,3C,IIB72AB,NONE,2015
15456694,IIB,ESP,,,12278350,76,15456694,8C-9A,3A,NONE,NONE,2003
450978,IIB,ESP,,,185889,29,450978,8C-9A,3B,NONE,NONE,2003
344686,IIB,ESP,,,126094,21,344686,8C-9A,3C,NONE,NONE,2003
438995,IIB,ESP,,,80025,27,438995,8C-9A,3T,NONE,NONE,2003
11804,IIB,ESP,,,2289,4,11804,8C-9A,BEAM,NONE,NONE,2003
3249,IIB,ESP,,,958,2,3249,8C-9A,DEM_SEINE,NONE,NONE,2003
10357,IIB,ESP,,,1856,8,10357,8C-9A,DREDGE,NONE,NONE,2003
631747,IIB,ESP,,,152544,50,631747,8C-9A,GILL,NONE,NONE,2003
4886930,IIB,ESP,,,1613162,260,4886930,8C-9A,NONE,NONE,NONE,2003
201464,IIB,ESP,,,116100,16,201464,8C-9A,OTTER,NONE,NONE,2003
17856802,IIB,ESP,,,5735388,121,17856802,8C-9A,PEL_SEINE,NONE,NONE,2003
1207025,IIB,ESP,,,218225,93,1207025,8C-9A,POTS,NONE,NONE,2003
14344840,IIB,ESP,,,9000215,74,14344840,8C-9A,3A,NONE,NONE,2004
684167,IIB,ESP,,,262599,31,684167,8C-9A,3B,NONE,NONE,2004
383472,IIB,ESP,,,137992,31,383472,8C-9A,3C,NONE,NONE,2004
736892,IIB,ESP,,,138092,35,736892,8C-9A,3T,NONE,NONE,2004
25121,IIB,ESP,,,4428,8,25121,8C-9A,BEAM,NONE,NONE,2004
