annex,country,regulated area ,regulated gear ,species,specon,sum_discards,sum_landings,vessel length,year
IIB,ESP,8C-9A,3A,RSE,NONE,,0.659,NONE,2015
IIB,ESP,8C-9A,3A,SBA,NONE,,1.849,NONE,2015
IIB,ESP,8C-9A,3A,SBG,NONE,,3.282,NONE,2015
IIB,ESP,8C-9A,3A,SCM,NONE,,0.003,NONE,2015
IIB,ESP,8C-9A,3A,SCS,NONE,,0.527,NONE,2015
IIB,ESP,8C-9A,3A,SDB,NONE,,0.007,NONE,2015
IIB,ESP,8C-9A,3A,SLM,NONE,,0.011,NONE,2015
IIB,ESP,8C-9A,3A,SLO,NONE,,0.001,NONE,2015
IIB,ESP,8C-9A,3A,SOB,NONE,,0.175,NONE,2015
IIB,ESP,8C-9A,3A,SOX,NONE,,0.046,NONE,2015
IIB,ESP,8C-9A,3A,SQC,NONE,,9.692,NONE,2015
IIB,ESP,8C-9A,3A,SQR,NONE,,0.00165,NONE,2015
IIB,ESP,8C-9A,3A,SQZ,NONE,,0.002,NONE,2015
IIB,ESP,8C-9A,3A,SRG,NONE,,0.02,NONE,2015
IIB,ESP,8C-9A,3A,SSB,NONE,,0.005,NONE,2015
IIB,ESP,8C-9A,3A,SWA,NONE,,3.368,NONE,2015
IIB,ESP,8C-9A,3A,SYC,NONE,,0.0098,NONE,2015
IIB,ESP,8C-9A,3A,TDF,NONE,,0.21,NONE,2015
IIB,ESP,8C-9A,3A,TOD,NONE,,0.056,NONE,2015
IIB,ESP,8C-9A,3A,TOE,NONE,,0.28,NONE,2015
IIB,ESP,8C-9A,3A,UCA,NONE,,0.275,NONE,2015
IIB,ESP,8C-9A,3A,WEG,NONE,,0.01505,NONE,2015
IIB,ESP,8C-9A,3A,WEX,NONE,,2.895,NONE,2015
IIB,ESP,8C-9A,3A,ANF,NONE,0,17.679,NONE,2015
IIB,ESP,8C-9A,3A,SOL,NONE,0,0.173,NONE,2015
IIB,ESP,8C-9A,3A,HKE,NONE,3.161,10.82915,NONE,2015
IIB,ESP,8C-9A,3A,BSS,NONE,,0.522,NONE,2015
IIB,ESP,8C-9A,3A,SCE,NONE,,0.009,NONE,2015
IIB,ESP,8C-9A,3A,NEP,NONE,0,0.09,NONE,2015
IIB,ESP,8C-9A,3A,PEN,NONE,,0.252,NONE,2015
IIB,ESP,8C-9A,3A,POL,NONE,,0.0025,NONE,2015
IIB,ESP,8C-9A,3A,RAJ,NONE,0,1.293,NONE,2015
IIB,ESP,8C-9A,3A,SCR,NONE,,0.144,NONE,2015
IIB,ESP,8C-9A,3A,GAG,NONE,,0.004,NONE,2015
IIB,ESP,8C-9A,3A,TUR,NONE,,0.12,NONE,2015
IIB,ESP,8C-9A,3B,BBS,NONE,,0.0745,NONE,2015
IIB,ESP,8C-9A,3B,BIB,NONE,,13.2837,NONE,2015
IIB,ESP,8C-9A,3B,BIS,NONE,,0.09,NONE,2015
IIB,ESP,8C-9A,3B,BLL,NONE,,1.0018,NONE,2015
IIB,ESP,8C-9A,3B,BLT,NONE,,0.1645,NONE,2015
IIB,ESP,8C-9A,3B,BOG,NONE,,0.394,NONE,2015
IIB,ESP,8C-9A,3B,BOM,NONE,,0.2,NONE,2015
IIB,ESP,8C-9A,3B,BON,NONE,,7.857,NONE,2015
IIB,ESP,8C-9A,3B,BRB,NONE,,1.37635,NONE,2015
IIB,ESP,8C-9A,3B,BSX,NONE,,0.002,NONE,2015
IIB,ESP,8C-9A,3B,CBE,NONE,,0.004,NONE,2015
IIB,ESP,8C-9A,3B,CBR,NONE,,0.1902,NONE,2015
IIB,ESP,8C-9A,3B,CET,NONE,,1.32215,NONE,2015
IIB,ESP,8C-9A,3B,CRU,NONE,,0.01,NONE,2015
IIB,ESP,8C-9A,3B,CTB,NONE,,1.182,NONE,2015
IIB,ESP,8C-9A,3B,CTC,NONE,,9.77305,NONE,2015
IIB,ESP,8C-9A,3B,CTL,NONE,,0.0865,NONE,2015
IIB,ESP,8C-9A,3B,CTZ,NONE,,0.0215,NONE,2015
IIB,ESP,8C-9A,3B,CVJ,NONE,,0.545,NONE,2015
IIB,ESP,8C-9A,3B,DEC,NONE,,0.009,NONE,2015
IIB,ESP,8C-9A,3B,ENG,NONE,,0.01,NONE,2015
IIB,ESP,8C-9A,3B,FIN,NONE,,23.50445,NONE,2015
IIB,ESP,8C-9A,3B,FRZ,NONE,,0.008,NONE,2015
IIB,ESP,8C-9A,3B,FSA,NONE,,0.005,NONE,2015
IIB,ESP,8C-9A,3B,GAU,NONE,,0.004,NONE,2015
IIB,ESP,8C-9A,3B,GGD,NONE,,0.003,NONE,2015
IIB,ESP,8C-9A,3B,GGU,NONE,,0.005,NONE,2015
IIB,ESP,8C-9A,3B,GOX,NONE,,0.003,NONE,2015
IIB,ESP,8C-9A,3B,GPD,NONE,,0.00775,NONE,2015
IIB,ESP,8C-9A,3B,GUI,NONE,,0.0035,NONE,2015
IIB,ESP,8C-9A,3B,GUN,NONE,,0.093,NONE,2015
IIB,ESP,8C-9A,3B,GUR,NONE,,0.05,NONE,2015
IIB,ESP,8C-9A,3B,GUU,NONE,,1.6785,NONE,2015
IIB,ESP,8C-9A,3B,GUX,NONE,,4.7832,NONE,2015
IIB,ESP,8C-9A,3B,GUY,NONE,,0.031,NONE,2015
IIB,ESP,8C-9A,3B,HDR,NONE,,0.059,NONE,2015
IIB,ESP,8C-9A,3B,JOD,NONE,,10.1083,NONE,2015
IIB,ESP,8C-9A,3B,KCA,NONE,,1.032,NONE,2015
