Year,StockKeyLabel,FisheriesGuild,Purpose,F,SSB,fishingPressureDescription,stockSizeDescription,landings,catches,discards,AssessmentYear,Flim,Fpa,Bpa,Blim,FMSY,MSYBtrigger
1973,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,8,NA,NA,2019,NA,NA,NA,NA,NA,NA
1974,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,3,NA,NA,2019,NA,NA,NA,NA,NA,NA
1975,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,32,NA,NA,2019,NA,NA,NA,NA,NA,NA
1976,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,26,NA,NA,2019,NA,NA,NA,NA,NA,NA
1977,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,29,NA,NA,2019,NA,NA,NA,NA,NA,NA
1978,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,24,NA,NA,2019,NA,NA,NA,NA,NA,NA
1979,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,19,NA,NA,2019,NA,NA,NA,NA,NA,NA
1980,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,19,NA,NA,2019,NA,NA,NA,NA,NA,NA
1981,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,20,NA,NA,2019,NA,NA,NA,NA,NA,NA
1982,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,18,NA,NA,2019,NA,NA,NA,NA,NA,NA
1983,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,13,NA,NA,2019,NA,NA,NA,NA,NA,NA
1984,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,9,NA,NA,2019,NA,NA,NA,NA,NA,NA
1985,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,13,NA,NA,2019,NA,NA,NA,NA,NA,NA
1986,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,14,NA,NA,2019,NA,NA,NA,NA,NA,NA
1987,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,12,NA,NA,2019,NA,NA,NA,NA,NA,NA
1988,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,11,NA,NA,2019,NA,NA,NA,NA,NA,NA
1989,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,4,NA,NA,2019,NA,NA,NA,NA,NA,NA
1990,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,3,NA,NA,2019,NA,NA,NA,NA,NA,NA
1991,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,2,NA,NA,2019,NA,NA,NA,NA,NA,NA
1992,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
1993,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
1994,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
1995,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,2,NA,NA,2019,NA,NA,NA,NA,NA,NA
1996,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
1997,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,2,NA,NA,2019,NA,NA,NA,NA,NA,NA
1998,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
1999,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
2000,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2001,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2002,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2003,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2004,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2005,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
2006,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2007,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
2008,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2009,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,2,NA,NA,2019,NA,NA,NA,NA,NA,NA
2010,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
2011,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
2012,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
2013,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2014,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2015,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
2016,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2017,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2018,agn.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
1988,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,225,NA,NA,2018,NA,NA,NA,NA,NA,NA
1989,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,272,NA,NA,2018,NA,NA,NA,NA,NA,NA
1990,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,353,NA,NA,2018,NA,NA,NA,NA,NA,NA
1991,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,371,NA,NA,2018,NA,NA,NA,NA,NA,NA
1992,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,460,NA,NA,2018,NA,NA,NA,NA,NA,NA
1993,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,729,NA,NA,2018,NA,NA,NA,NA,NA,NA
1994,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,1488,NA,NA,2018,NA,NA,NA,NA,NA,NA
1995,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,817,NA,NA,2018,NA,NA,NA,NA,NA,NA
1996,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,1776,NA,NA,2018,NA,NA,NA,NA,NA,NA
1997,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,545,NA,NA,2018,NA,NA,NA,NA,NA,NA
1998,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,579,NA,NA,2018,NA,NA,NA,NA,NA,NA
1999,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,1001,NA,NA,2018,NA,NA,NA,NA,NA,NA
2000,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,785,NA,NA,2018,NA,NA,NA,NA,NA,NA
2001,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,607,NA,NA,2018,NA,NA,NA,NA,NA,NA
2002,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,577,NA,NA,2018,NA,NA,NA,NA,NA,NA
2003,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,361,NA,NA,2018,NA,NA,NA,NA,NA,NA
2004,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,485,NA,NA,2018,NA,NA,NA,NA,NA,NA
2005,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,422,NA,NA,2018,NA,NA,NA,NA,NA,NA
2006,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,367,NA,NA,2018,NA,NA,NA,NA,NA,NA
2007,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,396,NA,NA,2018,NA,NA,NA,NA,NA,NA
2008,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,407,NA,NA,2018,NA,NA,NA,NA,NA,NA
2009,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,383,NA,NA,2018,NA,NA,NA,NA,NA,NA
2010,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,291,NA,NA,2018,NA,NA,NA,NA,NA,NA
2011,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,342,NA,NA,2018,NA,NA,NA,NA,NA,NA
2012,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,605,NA,NA,2018,NA,NA,NA,NA,NA,NA
2013,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,272,NA,NA,2018,NA,NA,NA,NA,NA,NA
2014,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,282,NA,NA,2018,NA,NA,NA,NA,NA,NA
2015,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,365,NA,NA,2018,NA,NA,NA,NA,NA,NA
2016,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,300,NA,NA,2018,NA,NA,NA,NA,NA,NA
2017,alf.27.nea,demersal,Advice,NA,NA,NA,Abundance Index,240,NA,NA,2018,NA,NA,NA,NA,NA,NA
1987,ane.27.8,pelagic,Advice,0.675,21323,Harvest rate,SSB,15308,15308,NA,2017,NA,NA,NA,21000,NA,NA
1988,ane.27.8,pelagic,Advice,0.488,29503,Harvest rate,SSB,15581,15581,NA,2017,NA,NA,NA,21000,NA,NA
1989,ane.27.8,pelagic,Advice,0.515,16009,Harvest rate,SSB,10614,10614,NA,2017,NA,NA,NA,21000,NA,NA
1990,ane.27.8,pelagic,Advice,0.626,53860,Harvest rate,SSB,34272,34272,NA,2017,NA,NA,NA,21000,NA,NA
1991,ane.27.8,pelagic,Advice,0.605,29950,Harvest rate,SSB,19634,19634,NA,2017,NA,NA,NA,21000,NA,NA
1992,ane.27.8,pelagic,Advice,0.502,74129,Harvest rate,SSB,37885,37885,NA,2017,NA,NA,NA,21000,NA,NA
1993,ane.27.8,pelagic,Advice,0.531,73971,Harvest rate,SSB,40393,40393,NA,2017,NA,NA,NA,21000,NA,NA
1994,ane.27.8,pelagic,Advice,0.69,48731,Harvest rate,SSB,34631,34631,NA,2017,NA,NA,NA,21000,NA,NA
1995,ane.27.8,pelagic,Advice,0.692,42071,Harvest rate,SSB,30115,30115,NA,2017,NA,NA,NA,21000,NA,NA
1996,ane.27.8,pelagic,Advice,0.682,48210,Harvest rate,SSB,34373,34373,NA,2017,NA,NA,NA,21000,NA,NA
1997,ane.27.8,pelagic,Advice,0.446,45889,Harvest rate,SSB,22337,22337,NA,2017,NA,NA,NA,21000,NA,NA
1998,ane.27.8,pelagic,Advice,0.333,94311,Harvest rate,SSB,31617,31617,NA,2017,NA,NA,NA,21000,NA,NA
1999,ane.27.8,pelagic,Advice,0.376,69174,Harvest rate,SSB,27259,27259,NA,2017,NA,NA,NA,21000,NA,NA
2000,ane.27.8,pelagic,Advice,0.398,92637,Harvest rate,SSB,36994,36994,NA,2017,NA,NA,NA,21000,NA,NA
2001,ane.27.8,pelagic,Advice,0.445,90201,Harvest rate,SSB,40149,40149,NA,2017,NA,NA,NA,21000,NA,NA
2002,ane.27.8,pelagic,Advice,0.45,38873,Harvest rate,SSB,17507,17507,NA,2017,NA,NA,NA,21000,NA,NA
2003,ane.27.8,pelagic,Advice,0.379,27635,Harvest rate,SSB,10595,10595,NA,2017,NA,NA,NA,21000,NA,NA
2004,ane.27.8,pelagic,Advice,0.528,30671,Harvest rate,SSB,16361,16361,NA,2017,NA,NA,NA,21000,NA,NA
2005,ane.27.8,pelagic,Advice,0.078,14381,Harvest rate,SSB,1128,1128,NA,2017,NA,NA,NA,21000,NA,NA
2006,ane.27.8,pelagic,Advice,0.086,20302,Harvest rate,SSB,1753,1753,NA,2017,NA,NA,NA,21000,NA,NA
2007,ane.27.8,pelagic,Advice,0.005,30570,Harvest rate,SSB,0,0,NA,2017,NA,NA,NA,21000,NA,NA
2008,ane.27.8,pelagic,Advice,0,24355,Harvest rate,SSB,0,0,NA,2017,NA,NA,NA,21000,NA,NA
2009,ane.27.8,pelagic,Advice,0,20340,Harvest rate,SSB,0,0,NA,2017,NA,NA,NA,21000,NA,NA
2010,ane.27.8,pelagic,Advice,0.208,48495,Harvest rate,SSB,10317,10317,NA,2017,NA,NA,NA,21000,NA,NA
2011,ane.27.8,pelagic,Advice,0.123,117509,Harvest rate,SSB,14530,14530,NA,2017,NA,NA,NA,21000,NA,NA
2012,ane.27.8,pelagic,Advice,0.147,97605,Harvest rate,SSB,14402,14402,NA,2017,NA,NA,NA,21000,NA,NA
2013,ane.27.8,pelagic,Advice,0.204,68881,Harvest rate,SSB,14192,14192,NA,2017,NA,NA,NA,21000,NA,NA
2014,ane.27.8,pelagic,Advice,0.232,84158,Harvest rate,SSB,20126,20126,NA,2017,NA,NA,NA,21000,NA,NA
2015,ane.27.8,pelagic,Advice,0.213,132564,Harvest rate,SSB,28258,28258,NA,2017,NA,NA,NA,21000,NA,NA
2016,ane.27.8,pelagic,Advice,0.187,103546,Harvest rate,SSB,20670,20670,NA,2017,NA,NA,NA,21000,NA,NA
2017,ane.27.8,pelagic,Advice,0.26,101786,Harvest rate,SSB,26505,26505,NA,2017,NA,NA,NA,21000,NA,NA
2018,ane.27.8,pelagic,Advice,NA,NA,Harvest rate,SSB,NA,NA,NA,2017,NA,NA,NA,21000,NA,NA
1989,ane.27.9a,pelagic,Advice,0.74,1.133,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
1990,ane.27.9a,pelagic,Advice,2.037,1.416,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
1991,ane.27.9a,pelagic,Advice,0.818,0.782,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
1992,ane.27.9a,pelagic,Advice,0.518,0.755,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
1993,ane.27.9a,pelagic,Advice,1.35,0.787,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
1994,ane.27.9a,pelagic,Advice,0.124,0.498,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
1995,ane.27.9a,pelagic,Advice,0.239,1.215,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
1996,ane.27.9a,pelagic,Advice,1.137,2.264,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
1997,ane.27.9a,pelagic,Advice,1.318,2.059,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
1998,ane.27.9a,pelagic,Advice,2.039,1.95,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
1999,ane.27.9a,pelagic,Advice,0.838,0.96,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
2000,ane.27.9a,pelagic,Advice,0.799,1.226,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
2001,ane.27.9a,pelagic,Advice,1.235,1.707,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
2002,ane.27.9a,pelagic,Advice,1,1.391,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
2003,ane.27.9a,pelagic,Advice,0.988,0.763,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
2004,ane.27.9a,pelagic,Advice,1.342,0.578,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
2005,ane.27.9a,pelagic,Advice,0.614,0.537,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
2006,ane.27.9a,pelagic,Advice,0.541,1.168,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,0.504150619593585,0.307430585793762,NA,NA
