Year,StockKeyLabel,FisheriesGuild,AssessmentYear,F,FMSY,SSB,MSYBtrigger,catches,landings,discards
2003,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,4341,288,4053
2004,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,4097,722,3375
2005,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,3064,626,2438
2006,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,1439,40,1399
2007,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,2119,36,2083
2008,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,3138,20,3118
2009,aru.27.6b7-1012,pelagic,2019,NA,NA,72.95,NA,4205,22,4183
2010,aru.27.6b7-1012,pelagic,2019,NA,NA,89.97,NA,2054,25,2029
2011,aru.27.6b7-1012,pelagic,2019,NA,NA,50.32,NA,2070,14,2056
2012,aru.27.6b7-1012,pelagic,2019,NA,NA,83.02,NA,239,36,203
2013,aru.27.6b7-1012,pelagic,2019,NA,NA,121.5,NA,134,1,133
2014,aru.27.6b7-1012,pelagic,2019,NA,NA,59.57,NA,420,22,398
2015,aru.27.6b7-1012,pelagic,2019,NA,NA,72.56,NA,34,5,29
2016,aru.27.6b7-1012,pelagic,2019,NA,NA,172.94,NA,240,0,240
2017,aru.27.6b7-1012,pelagic,2019,NA,NA,129.63,NA,159,8,151
2018,aru.27.6b7-1012,pelagic,2019,NA,NA,98.72,NA,140,36,104
2001,boc.27.6-8,pelagic,2019,NA,NA,297349.996,NA,120,120,0
2002,boc.27.6-8,pelagic,2019,NA,NA,260000,NA,91,91,0
2003,boc.27.6-8,pelagic,2019,NA,NA,236349.995,NA,11387,458,10929
2004,boc.27.6-8,pelagic,2019,NA,NA,323400,NA,5151,675,4476
2005,boc.27.6-8,pelagic,2019,NA,NA,313899.984,NA,5960,165,5795
2006,boc.27.6-8,pelagic,2019,NA,NA,363849.997,NA,7138,2772,4366
2007,boc.27.6-8,pelagic,2019,NA,NA,310249.996,NA,21576,18387,3189
2008,boc.27.6-8,pelagic,2019,NA,NA,377300,NA,34750,24682,10068
2009,boc.27.6-8,pelagic,2019,NA,NA,382600,NA,90370,83688,6682
2010,boc.27.6-8,pelagic,2019,NA,NA,587549.998,NA,144047,137503,6544
2011,boc.27.6-8,pelagic,2019,NA,NA,536149.998,NA,37097,31295,5802
2012,boc.27.6-8,pelagic,2019,NA,NA,777849.998,NA,87355,80721,6634
2013,boc.27.6-8,pelagic,2019,NA,NA,549349.98,NA,75410,69812,5598
2014,boc.27.6-8,pelagic,2019,NA,NA,256700,NA,45231,43418,1813
2015,boc.27.6-8,pelagic,2019,NA,NA,305600,NA,17767,16838,929
2016,boc.27.6-8,pelagic,2019,NA,NA,214400,NA,19315,18032,1283
2017,boc.27.6-8,pelagic,2019,NA,NA,377400,NA,17388,16215,1173
2018,boc.27.6-8,pelagic,2019,NA,NA,388400,NA,11286,9927,1359
2016,bss.27.8ab,demersal,2019,0.12,0.1225,18666,16688,2317,2252,65
2017,bss.27.8ab,demersal,2019,0.119,0.1225,18513,16688,2369,2295,74
2018,bss.27.8ab,demersal,2019,0.126,0.1225,18498,16688,2422,2316,106
2010,dgs.27.nea,elasmobranch,2018,0.011,NA,316111,683340,2468,1249,1219
2011,dgs.27.nea,elasmobranch,2018,0.011,NA,323654,683340,2468,580,1888
2012,dgs.27.nea,elasmobranch,2018,0.01,NA,331270,683340,2468,261,2207
2013,dgs.27.nea,elasmobranch,2018,0.01,NA,339268,683340,2468,333,2135
2014,dgs.27.nea,elasmobranch,2018,0.01,NA,347248,683340,2468,383,2085
2015,dgs.27.nea,elasmobranch,2018,0.01,NA,355467,683340,2468,237,2231
2016,dgs.27.nea,elasmobranch,2018,0.009,NA,364039,683340,2468,349,2119
2017,dgs.27.nea,elasmobranch,2018,0.009,NA,372728,683340,2468,273,2195
2013,gfb.27.nea,demersal,2018,NA,NA,2,NA,3328,2143,1185
2014,gfb.27.nea,demersal,2018,NA,NA,1,NA,3435,2269,1166
2015,gfb.27.nea,demersal,2018,NA,NA,1,NA,4242,2174,2068
2016,gfb.27.nea,demersal,2018,NA,NA,1,NA,2689,2012,677
2017,gfb.27.nea,demersal,2018,NA,NA,1,NA,2016,1503,513
1988,hke.27.3a46-8abd,demersal,2019,1.06,0.27,43169,56000,64825,64823,2
1989,hke.27.3a46-8abd,demersal,2019,1.14,0.27,42492,56000,66546,66473,73
1994,hke.27.3a46-8abd,demersal,2019,1.13,0.27,28823,56000,51615,51259,356
1999,hke.27.3a46-8abd,demersal,2019,1.03,0.27,26026,56000,40163,39814,349
2000,hke.27.3a46-8abd,demersal,2019,0.97,0.27,28722,56000,42109,42026,83
2003,hke.27.3a46-8abd,demersal,2019,0.87,0.27,35009,56000,45272,43162,2110
2004,hke.27.3a46-8abd,demersal,2019,0.87,0.27,40085,56000,48969,46417,2552
2005,hke.27.3a46-8abd,demersal,2019,1.02,0.27,38523,56000,51226,46550,4676
2006,hke.27.3a46-8abd,demersal,2019,0.92,0.27,30822,56000,43283,41467,1816
2007,hke.27.3a46-8abd,demersal,2019,0.82,0.27,36353,56000,47219,45028,2191
2008,hke.27.3a46-8abd,demersal,2019,0.68,0.27,41909,56000,50987,47739,3248
2009,hke.27.3a46-8abd,demersal,2019,0.57,0.27,62188,56000,69408,58818,10590
2010,hke.27.3a46-8abd,demersal,2019,0.42,0.27,114775,56000,82777,72799,9978
2011,hke.27.3a46-8abd,demersal,2019,0.33,0.27,190397,56000,101696,87540,14156
2012,hke.27.3a46-8abd,demersal,2019,0.27,0.27,215395,56000,98357,85677,12680
2013,hke.27.3a46-8abd,demersal,2019,0.26,0.27,218143,56000,93639,77753,15886
2014,hke.27.3a46-8abd,demersal,2019,0.25,0.27,233524,56000,99853,89940,9913
2015,hke.27.3a46-8abd,demersal,2019,0.23,0.27,277274,56000,103490,93670,9820
