FisheriesGuild,StockKeyLabel,Year,Metric,Value
pelagic,ane.27.8,1987,SSB_SSBMEAN,0.00169468454567422
pelagic,ane.27.8,1988,SSB_SSBMEAN,0.00234480505327705
pelagic,ane.27.8,1989,SSB_SSBMEAN,0.0012723446462364
pelagic,ane.27.8,1990,SSB_SSBMEAN,0.00428062231534089
pelagic,ane.27.8,1991,SSB_SSBMEAN,0.00238033119837467
pelagic,ane.27.8,1992,SSB_SSBMEAN,0.00589153827727264
pelagic,ane.27.8,1993,SSB_SSBMEAN,0.00587898093739474
pelagic,ane.27.8,1994,SSB_SSBMEAN,0.00387298563031706
pelagic,ane.27.8,1995,SSB_SSBMEAN,0.00334366991141304
pelagic,ane.27.8,1996,SSB_SSBMEAN,0.00383157819945385
pelagic,ane.27.8,1997,SSB_SSBMEAN,0.00364711246618414
pelagic,ane.27.8,1998,SSB_SSBMEAN,0.00749553975458809
pelagic,ane.27.8,1999,SSB_SSBMEAN,0.00549773056148144
pelagic,ane.27.8,2000,SSB_SSBMEAN,0.00736249553335005
pelagic,ane.27.8,2001,SSB_SSBMEAN,0.00716888996409327
pelagic,ane.27.8,2002,SSB_SSBMEAN,0.00308950299413751
pelagic,ane.27.8,2003,SSB_SSBMEAN,0.00219634232611299
pelagic,ane.27.8,2004,SSB_SSBMEAN,0.00243763399617193
pelagic,ane.27.8,2005,SSB_SSBMEAN,0.00114295635939319
pelagic,ane.27.8,2006,SSB_SSBMEAN,0.00161353869747588
pelagic,ane.27.8,2007,SSB_SSBMEAN,0.00242960683587024
pelagic,ane.27.8,2008,SSB_SSBMEAN,0.00193565830839449
pelagic,ane.27.8,2009,SSB_SSBMEAN,0.00161655881719335
pelagic,ane.27.8,2010,SSB_SSBMEAN,0.00385422909733487
pelagic,ane.27.8,2011,SSB_SSBMEAN,0.00933924336526907
pelagic,ane.27.8,2012,SSB_SSBMEAN,0.00775733644799197
pelagic,ane.27.8,2013,SSB_SSBMEAN,0.00547444384892305
pelagic,ane.27.8,2014,SSB_SSBMEAN,0.00668861145218081
pelagic,ane.27.8,2015,SSB_SSBMEAN,0.01053576711123
pelagic,ane.27.8,2016,SSB_SSBMEAN,0.00822950832276806
pelagic,ane.27.8,2017,SSB_SSBMEAN,0.00808962909374837
pelagic,ane.27.9a,1989,F_FMEAN,1.75668264037007
