FisheriesGuild,StockKeyLabel,Year,Metric,Value
crustacean,nep.fu.2324,2016,F/F[MSY],0.941168831168831
crustacean,nep.fu.2324,2017,F/F[MSY],1.09337662337662
crustacean,nep.fu.2324,2018,F/F[MSY],0.651818181818182
crustacean,nep.fu.2627,1990,F/F[MSY],2.08125
crustacean,nep.fu.2627,1991,F/F[MSY],2.24375
crustacean,nep.fu.2627,1992,F/F[MSY],2.43125
crustacean,nep.fu.2627,1993,F/F[MSY],1.775
crustacean,nep.fu.2627,1994,F/F[MSY],2.11875
crustacean,nep.fu.2627,1995,F/F[MSY],2.25
crustacean,nep.fu.2627,1996,F/F[MSY],2.5125
crustacean,nep.fu.2627,1997,F/F[MSY],2.9125
crustacean,nep.fu.2627,1998,F/F[MSY],2.25
crustacean,nep.fu.2627,1999,F/F[MSY],2.1375
crustacean,nep.fu.2627,2000,F/F[MSY],1.95
crustacean,nep.fu.2627,2001,F/F[MSY],1.86875
crustacean,nep.fu.2627,2002,F/F[MSY],1.3125
crustacean,nep.fu.2627,2003,F/F[MSY],1.25625
crustacean,nep.fu.2627,2004,F/F[MSY],1.55625
crustacean,nep.fu.2627,2005,F/F[MSY],1.28125
crustacean,nep.fu.2627,2006,F/F[MSY],1.21875
crustacean,nep.fu.2627,2007,F/F[MSY],0.94375
crustacean,nep.fu.2627,2008,F/F[MSY],0.76875
crustacean,nep.fu.2627,2009,F/F[MSY],0.675
crustacean,nep.fu.2627,2010,F/F[MSY],0.425
crustacean,nep.fu.2627,2011,F/F[MSY],0.425
crustacean,nep.fu.2627,2012,F/F[MSY],0.3875
crustacean,nep.fu.2627,2013,F/F[MSY],0.33125
crustacean,nep.fu.2627,2014,F/F[MSY],0.3875
crustacean,nep.fu.2627,2015,F/F[MSY],0.3
crustacean,nep.fu.2627,2016,F/F[MSY],0.31875
crustacean,nep.fu.2829,1998,F/F[MSY],1.03
crustacean,nep.fu.2829,1999,F/F[MSY],0.97
crustacean,nep.fu.2829,2000,F/F[MSY],1.304
crustacean,nep.fu.2829,2001,F/F[MSY],0.952
crustacean,nep.fu.2829,2002,F/F[MSY],0.788
crustacean,nep.fu.2829,2003,F/F[MSY],0.616
crustacean,nep.fu.2829,2004,F/F[MSY],0.903
crustacean,nep.fu.2829,2005,F/F[MSY],0.725
crustacean,nep.fu.2829,2006,F/F[MSY],0.541
crustacean,nep.fu.2829,2007,F/F[MSY],0.588
crustacean,nep.fu.2829,2008,F/F[MSY],0.479
crustacean,nep.fu.2829,2009,F/F[MSY],0.366
crustacean,nep.fu.2829,2010,F/F[MSY],0.351
crustacean,nep.fu.2829,2011,F/F[MSY],0.411
crustacean,nep.fu.2829,2012,F/F[MSY],0.525
crustacean,nep.fu.2829,2013,F/F[MSY],0.437
crustacean,nep.fu.2829,2014,F/F[MSY],0.388
crustacean,nep.fu.2829,2015,F/F[MSY],0.33
crustacean,nep.fu.2829,2016,F/F[MSY],0.458
crustacean,nep.fu.2829,2017,F/F[MSY],0.534
crustacean,nep.fu.2829,2018,F/F[MSY],0.461
crustacean,MEAN,1998,F/F[MSY],1.64
crustacean,MEAN,1999,F/F[MSY],1.55375
crustacean,MEAN,2000,F/F[MSY],1.627
crustacean,MEAN,2001,F/F[MSY],1.410375
crustacean,MEAN,2002,F/F[MSY],1.05025
crustacean,MEAN,2003,F/F[MSY],0.936125
crustacean,MEAN,2004,F/F[MSY],1.229625
crustacean,MEAN,2005,F/F[MSY],1.003125
crustacean,MEAN,2006,F/F[MSY],0.879875
crustacean,MEAN,2007,F/F[MSY],0.765875
crustacean,MEAN,2008,F/F[MSY],0.623875
crustacean,MEAN,2009,F/F[MSY],0.5205
crustacean,MEAN,2011,F/F[MSY],0.418
crustacean,MEAN,2012,F/F[MSY],0.45625
crustacean,MEAN,2013,F/F[MSY],0.384125
crustacean,MEAN,2014,F/F[MSY],0.38775
crustacean,MEAN,2015,F/F[MSY],0.315
crustacean,MEAN,2016,F/F[MSY],0.57263961038961
crustacean,MEAN,2017,F/F[MSY],0.813688311688312
crustacean,MEAN,2018,F/F[MSY],0.556409090909091
