StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
ank.27.78abd,benthic,0.729,NA,10174,1109,1,0.729,NA,NA,NA,NA,NA,GREY,23768
ank.27.8c9a,benthic,0.24,NA,764,NA,1,0.24,2019,2019,3.4,1.7,0.5,GREEN,23768
ldb.27.7b-k8abd,benthic,NA,1278,913,365,NA,NA,NA,NA,NA,NA,NA,GREY,23768
ldb.27.8c9a,benthic,0.471502590673575,906,814,92,0.193,0.091,2019,2019,1.92478260869565,8854,4600,GREEN,23768
meg.27.7b-k8abd,benthic,0.93717277486911,14133,12279,1855,0.191,0.179,2019,2019,2.40174641148325,100393,41800,GREEN,23768
meg.27.8c9a,benthic,0.895287958115183,352,315,37,0.191,0.171,2019,2019,2.70612244897959,2652,980,GREEN,23768
mon.27.78abd,benthic,0.892857142857143,23768,22371,1396,0.28,0.25,2019,2019,3.26995241942724,72848,22278,GREEN,23768
mon.27.8c9a,benthic,0.3875,NA,1153,NA,0.24,0.093,2019,2019,2.1449944294127,13477,6283,GREEN,23768
ple.27.89a,benthic,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,GREY,23768
sol.27.8ab,benthic,1.13333333333333,NA,3469,215,0.33,0.374,2019,2019,1.19367924528302,12653,10600,RED,23768
sol.27.8c9a,benthic,NA,NA,579,NA,NA,NA,NA,NA,NA,NA,NA,GREY,23768
