StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
alf.27.nea,demersal,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,GREY,96188
bli.27.nea,demersal,NA,NA,348,0,NA,NA,NA,NA,NA,NA,NA,GREY,96188
bss.27.8ab,demersal,1.02857142857143,2422,2316,106,0.1225,0.126,2019,2019,1.06244007670182,17730,16688,RED,96188
bss.27.8c9a,demersal,NA,NA,832,NA,NA,NA,NA,NA,NA,NA,NA,GREY,96188
gfb.27.nea,demersal,NA,2016,1503,513,NA,NA,NA,NA,NA,NA,NA,GREY,96188
gur.27.3-8,demersal,NA,NA,4018,NA,NA,NA,NA,NA,NA,NA,NA,GREY,96188
hke.27.3a46-8abd,demersal,0.814814814814815,96188,89695,6493,0.27,0.22,2019,2019,5.09591071428571,285371,56000,GREEN,96188
hke.27.8c9a,demersal,2.384,12065,10123,1942,0.25,0.596,2019,2019,1.57027027027027,17430,11100,RED,96188
lin.27.3a4a6-91214,demersal,NA,NA,20688,1012,NA,NA,NA,NA,NA,NA,NA,GREY,96188
mur.27.67a-ce-k89a,demersal,NA,NA,1726,NA,NA,NA,NA,NA,NA,NA,NA,GREY,96188
ory.27.nea,demersal,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,GREY,96188
pol.27.89a,demersal,NA,NA,1512,NA,NA,NA,NA,NA,NA,NA,NA,GREY,96188
rng.27.1245a8914ab,demersal,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,GREY,96188
sbr.27.6-8,demersal,NA,125,124,1,NA,NA,NA,NA,NA,NA,NA,GREY,96188
sbr.27.9,demersal,NA,NA,336,NA,NA,NA,NA,NA,NA,NA,NA,GREY,96188
usk.27.3a45b6a7-912b,demersal,NA,NA,4411,96,NA,NA,NA,NA,NA,NA,NA,GREY,96188
whg.27.89a,demersal,NA,2194,1539,656,NA,NA,NA,NA,NA,NA,NA,GREY,96188
