type_var,year,typeTotal
Belgium,2009,22.5105293
Belgium,2010,18.7672831333333
Belgium,2011,17.9746243333333
Belgium,2012,13.7797323666666
Belgium,2013,16.3137563666667
Belgium,2014,16.8334411666667
Belgium,2015,11.6847777333333
Belgium,2016,13.1407072
Belgium,2017,11.7860549333333
Belgium,2018,13.6385606
France,2009,234.275782189721
France,2010,233.268091559722
France,2011,233.405275952779
France,2012,260.462659009167
France,2013,263.032461844721
France,2014,260.717752439998
France,2015,268.500983844167
France,2016,277.751385303888
France,2017,276.779068493055
France,2018,277.884829631666
Ireland,2009,0.2273582
Ireland,2010,0.628501366666667
Ireland,2011,0.02005
Ireland,2012,0.097667
Ireland,2013,0.22975275
Ireland,2014,0.0598796666666666
Ireland,2015,0.333059066666667
Ireland,2016,3.71541156666667
Ireland,2017,10.074811193
Ireland,2018,8.00769244566667
Portugal,2009,70.249642
Portugal,2010,65.661258
Portugal,2011,64.425614
Portugal,2012,73.560249
Portugal,2013,77.474494
Portugal,2014,66.191859
Portugal,2015,62.392111
Portugal,2016,58.102487
Portugal,2017,58.738482
Portugal,2018,75.100999
Spain,2009,114.832465069163
Spain,2010,130.949371671995
Spain,2011,153.275192556327
Spain,2012,122.379308775148
Spain,2013,126.700240663147
Spain,2014,118.197171022828
Spain,2015,123.389516180498
Spain,2016,122.345905333824
Spain,2017,119.720544941182
Spain,2018,82.2349106016675
other,2009,5.01650740599999
other,2010,2.41311785966666
other,2011,1.97964523221
other,2012,1.65968946245667
other,2013,7.11196837766666
other,2014,3.94660216533334
other,2015,4.952178596
other,2016,4.218929776
other,2017,1.20212414433333
other,2018,1.16606738966667
