type_var,YEAR,typeTotal
anchovy,1950,31.546
anchovy,1951,39.117
anchovy,1952,43.785
anchovy,1953,52.493
anchovy,1954,60.093
anchovy,1955,81.612
anchovy,1956,78.03
anchovy,1957,86.428
anchovy,1958,94.159
anchovy,1959,106.094
anchovy,1960,114.316
anchovy,1961,120.067
anchovy,1962,103.013
anchovy,1963,74.449
anchovy,1964,107.718
anchovy,1965,129.877
anchovy,1966,90.135
anchovy,1967,78.214
anchovy,1968,52.507
anchovy,1969,45.734
anchovy,1970,46.764
anchovy,1971,29.177
anchovy,1972,34.49
anchovy,1973,30.654
anchovy,1974,34.157
anchovy,1975,29.54
anchovy,1976,44.869
anchovy,1977,59.625
anchovy,1978,54.39
anchovy,1979,43.552
anchovy,1980,23.25
anchovy,1981,12.246
anchovy,1982,5.427
anchovy,1983,16.814
anchovy,1984,28.886
anchovy,1985,13.303
anchovy,1986,10.921
anchovy,1987,18.083
anchovy,1988,17.326
anchovy,1989,10.333
anchovy,1990,24.298
anchovy,1991,15.112
anchovy,1992,27.583
anchovy,1993,30.368
anchovy,1994,29.858
anchovy,1995,36.233
anchovy,1996,28.934
anchovy,1997,22.161
anchovy,1998,34.13
anchovy,1999,21.869
anchovy,2000,37.019
anchovy,2001,42.245
anchovy,2002,23.838
anchovy,2003,15.591
anchovy,2004,21.509
anchovy,2005,5.553
anchovy,2006,5.7127
anchovy,2007,5.5533
anchovy,2008,2.90901
anchovy,2009,2.46782
anchovy,2010,13.7806
anchovy,2011,23.25618
anchovy,2012,22.14965
anchovy,2013,20.08073
anchovy,2014,28.02645
anchovy,2015,35.69733
anchovy,2016,33.74507
anchovy,2017,37.9883
anchovy,2018,44.349808
atlantic mackerel,1950,9.297
atlantic mackerel,1951,9.465
atlantic mackerel,1952,5.877
atlantic mackerel,1953,10.795
atlantic mackerel,1954,6.52
atlantic mackerel,1955,12.123
atlantic mackerel,1956,28.181
atlantic mackerel,1957,31.877
atlantic mackerel,1958,24.35
atlantic mackerel,1959,12.732
atlantic mackerel,1960,11.737
atlantic mackerel,1961,17.762
atlantic mackerel,1962,31.097
atlantic mackerel,1963,20.13
atlantic mackerel,1964,20.668
atlantic mackerel,1965,55.767
atlantic mackerel,1966,44.125
atlantic mackerel,1967,55.921
atlantic mackerel,1968,43.258
atlantic mackerel,1969,49.267
atlantic mackerel,1970,81.368
atlantic mackerel,1971,40.559
atlantic mackerel,1972,36.893
atlantic mackerel,1973,33.174
atlantic mackerel,1974,39.502
atlantic mackerel,1975,42.676
atlantic mackerel,1976,51.57
atlantic mackerel,1977,33.723
atlantic mackerel,1978,29.232
atlantic mackerel,1979,26.99
atlantic mackerel,1980,19.932
atlantic mackerel,1981,21.359
atlantic mackerel,1982,22.92
atlantic mackerel,1983,17.349
atlantic mackerel,1984,25.304
atlantic mackerel,1985,24.073
atlantic mackerel,1986,28.022
atlantic mackerel,1987,26.292
atlantic mackerel,1988,29.095
atlantic mackerel,1989,10.545
atlantic mackerel,1990,11.732
atlantic mackerel,1991,12.102
atlantic mackerel,1992,10.979
atlantic mackerel,1993,14.758
atlantic mackerel,1994,15.694
atlantic mackerel,1995,17.606
atlantic mackerel,1996,22.415
atlantic mackerel,1997,27.353
atlantic mackerel,1998,34.61
atlantic mackerel,1999,29.029
atlantic mackerel,2000,39.763
atlantic mackerel,2001,40.348
atlantic mackerel,2002,42.786
atlantic mackerel,2003,37.342
atlantic mackerel,2004,38.511
atlantic mackerel,2005,29.754
atlantic mackerel,2006,26.24061
atlantic mackerel,2007,28.86501
atlantic mackerel,2008,26.5868
atlantic mackerel,2009,23.7061
atlantic mackerel,2010,32.2541
atlantic mackerel,2011,20.86957
atlantic mackerel,2012,27.02322
atlantic mackerel,2013,29.0465
atlantic mackerel,2014,61.6196
atlantic mackerel,2015,61.46587
atlantic mackerel,2016,41.46959
atlantic mackerel,2017,41.12756
atlantic mackerel,2018,40.255361
blue mussel,1950,2.05
blue mussel,1951,2.763
blue mussel,1952,2.439
blue mussel,1953,2.246
blue mussel,1954,1.138
blue mussel,1955,3.32
blue mussel,1956,3.555
blue mussel,1957,3.188
blue mussel,1958,3.71
blue mussel,1959,4.724
blue mussel,1960,17.737
blue mussel,1961,44.153
blue mussel,1962,54.861
blue mussel,1963,62.308
blue mussel,1964,62.597
blue mussel,1965,65.342
blue mussel,1966,93.639
blue mussel,1967,49.482
blue mussel,1968,67.689
blue mussel,1969,92.551
blue mussel,1970,108.65
blue mussel,1971,16.439
blue mussel,1972,142.875
blue mussel,1973,150.444
blue mussel,1974,117.519
blue mussel,1975,121.981
blue mussel,1976,80.096
blue mussel,1977,60.868
blue mussel,1978,77.372
blue mussel,1979,80.98
blue mussel,1980,106.682
blue mussel,1981,126.641
blue mussel,1982,140.116
blue mussel,1983,124.443
blue mussel,1984,116.805
blue mussel,1985,103.256
blue mussel,1986,4.197
blue mussel,1987,2.2
blue mussel,1988,2.981
blue mussel,1989,1.489
blue mussel,1990,0.015
blue mussel,1991,1.345
blue mussel,1992,0.054
blue mussel,1993,0.085
blue mussel,1994,0.019
blue mussel,1995,0.001
blue mussel,1996,0.087
blue mussel,1997,0.208
blue mussel,1998,0.008
blue mussel,1999,0.001
blue mussel,2000,0.251
blue mussel,2001,0.213
blue mussel,2002,0.343
blue mussel,2003,0.076
blue mussel,2004,0.008
blue mussel,2005,0.002
blue mussel,2006,0.1943
blue mussel,2007,0.00471
blue mussel,2008,0.002
blue mussel,2009,0.05681
blue mussel,2010,0.418
blue mussel,2011,0.20067
blue mussel,2012,0.00638
blue mussel,2013,0.10135
blue mussel,2014,1.68012
blue mussel,2015,0.41573
blue mussel,2016,0.08952
blue mussel,2017,0.0392
blue whiting,1950,0
blue whiting,1951,0
blue whiting,1952,0
blue whiting,1953,0
blue whiting,1954,0
blue whiting,1955,0
blue whiting,1956,0
blue whiting,1957,0
blue whiting,1958,0
blue whiting,1959,0
blue whiting,1960,0
blue whiting,1961,0
blue whiting,1962,0
blue whiting,1963,14.539
blue whiting,1964,15.427
blue whiting,1965,18.024
blue whiting,1966,20.648
blue whiting,1967,21.139
blue whiting,1968,20.756
blue whiting,1969,16.934
blue whiting,1970,10.267
blue whiting,1971,0
blue whiting,1972,4.204
blue whiting,1973,3.915
blue whiting,1974,3.891
blue whiting,1975,4.293
blue whiting,1976,4.533
blue whiting,1977,19.566
blue whiting,1978,16.953
blue whiting,1979,1.795
blue whiting,1980,25.473
blue whiting,1981,35.111
