Year,FisheriesGuild,variable,value
2014,benthic,guildRate,0.0692817941862362
2014,crustacean,guildRate,0.23119170081074
2014,demersal,guildRate,0.0707747732217941
2014,elasmobranch,guildRate,0.592549581192989
2014,pelagic,guildRate,0.00393483682347007
2015,benthic,guildRate,0.0688099909168306
2015,crustacean,guildRate,0.245337642227159
2015,demersal,guildRate,0.0664380265387141
2015,elasmobranch,guildRate,0.649717528062169
2015,pelagic,guildRate,0.00637028276815988
2016,benthic,guildRate,0.097331252313984
2016,crustacean,guildRate,0.282840699558585
2016,demersal,guildRate,0.0733636461094001
2016,elasmobranch,guildRate,0.726443000858592
2016,pelagic,guildRate,0.00486109275727222
2017,benthic,guildRate,0.0720999431606981
2017,crustacean,guildRate,0.306615285806037
2017,demersal,guildRate,0.0515364353569562
2017,elasmobranch,guildRate,0.458949422273711
2017,pelagic,guildRate,0.00344896516831593
2018,benthic,guildRate,0.0620495096301548
2018,crustacean,guildRate,0.317928676111383
2018,demersal,guildRate,0.0528497850941811
2018,elasmobranch,guildRate,0.562339286135554
2018,pelagic,guildRate,0.00388791169028395
